Ship Number,Ref,Carrier,Ship Method,Tracking Number,Shipped Date,Names,Company,Address 1,City,State,Zip,Country,Base Rate,Total Charge,Qty,Pallet Qty,Weight,Dimensions,Customer,Client Customer,Tracking Status
1266984,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,2176,72199,4417 East Rosecrans Avenue,Compton,CA,90221,US,61.12,8.86,1,0,0.28,11X10X1,,",",Arrived at FedEx location
1264925,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,2365,72299,50 Mission Boulevard,Santa Rosa,CA,95409,US,61.12,8.86,1,0,0.38,11X10X1,,",",Departed FedEx location
1264961,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,2369,72299,4720 MacArthur Blvd,Oakland,CA,94619,US,61.12,8.86,1,0,0.48,11X10X1,,",",Departed FedEx location
1264910,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,2366,72299,678 Concar Drive,San Mateo,CA,94402,US,61.12,8.86,1,0,0.45,11X10X1,,",",Departed FedEx location
1264907,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,2365,72299,1136 Imola Avenue,Napa,CA,94559,US,65.4,10.55,1,0,0.14,11X10X1,,",",Departed FedEx location
1265101,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,2367,72299,21220 Homestead Road,Cupertino,CA,95014,US,61.12,8.86,1,0,0.55,11X10X1,,",",Departed FedEx location
1264669,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1961,71999,36945 MOUND RD.,Sterling Heights,MI,48310,US,46.94,7.92,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1264711,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1971,71999,2250 Merriman Road,Garden City,MI,48135,US,46.94,7.92,1,0,0.48,11X10X1,,",",Arrived at FedEx location
1264629,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1961,71999,15270 E 14 Mile Rd,Fraser,MI,48026,US,46.94,7.92,1,0,0.35,11X10X1,,",",Arrived at FedEx location
1264539,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1914,71999,4346 NORTH KIMBALL AVE,Chicago,IL,60618,US,46.94,7.92,1,0,0.48,11X10X1,,",",Arrived at FedEx location
1264410,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1551,71499,18934 U.S. 19,Hudson,FL,34667,US,58.45,8.3,1,0,0.21,11X10X1,,",",Arrived at FedEx location
1264477,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1911,71999,601 North Main Street,Mishawaka,IN,46545,US,46.94,7.92,1,0,0.48,11X10X1,,",",Arrived at FedEx location
1264313,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1532,71599,403 East Atlantic Boulevard,Pompano Beach,FL,33060,US,61.12,8.86,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1264386,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1551,71499,5601 East Fletcher Avenue,Tampa,FL,33617,US,58.45,8.3,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1264240,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1532,71599,2391 North Dixie Highway,Pompano Beach,FL,33060,US,61.12,8.86,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1264098,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,1501,71499,6758 Conroy Road,Orlando,FL,32835,US,58.45,8.3,1,0,0.75,11X10X1,,",",Arrived at FedEx location
1263926,711AR414,FedEx 2Day,EFEX2,3.97354E+11,2023-04-24T00:00:00,2581,72599,1111 Elden Street,Herndon,VA,20170,US,51.77,7.92,1,0,0.31,11X10X1,,",",Departed FedEx location
1264056,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1501,71499,3360 West Irlo Bronson Memorial Highway,Kissimmee,FL,34741,US,58.45,8.3,1,0,0.41,11X10X1,,",",Arrived at FedEx location
1264290,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1534,71599,9695 Southwest 88th Street,Miami,FL,33176,US,61.12,8.86,1,0,0.48,11X10X1,,",",Arrived at FedEx location
1266629,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2136,72199,3227 North Glenoaks Boulevard,Burbank,CA,91504,US,61.12,8.86,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1266561,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2133,72199,10660 Sepulveda Boulevard,Los Angeles,CA,91345,US,61.12,8.86,1,0,0.45,11X10X1,,",",Departed FedEx location
1265243,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2364,72299,1620 El Rancho Drive,Sparks,NV,89431,US,58.45,8.3,1,0,0.45,11X10X1,,",",Departed FedEx location
1265659,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2362,72399,1218 Wallace Road Northwest,Salem,OR,97304,US,61.12,8.86,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1265378,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1608,72399,225 North Lamb Boulevard,Las Vegas,NV,89110,US,58.45,8.3,1,0,0.45,11X10X1,,",",Departed FedEx location
1265368,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1608,72399,5891 E Lake Mead Blvd,Las Vegas,NV,89156,US,58.45,8.3,1,0,0.45,11X10X1,,",",Departed FedEx location
1264085,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1501,71499,15001 West Colonial Drive,Winter Garden,FL,34787,US,58.45,8.3,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1264045,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1506,71499,30 North Summerlin Avenue,Orlando,FL,32801,US,58.45,8.3,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1263974,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2581,72599,8391 Leesburg Pike,Vienna,VA,22182,US,51.77,7.92,1,0,0.31,11X10X1,,",",Departed FedEx location
1263996,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2531,71399,209 MAIN ST,Romney,WV,26757,US,56.98,9.98,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1263874,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2554,72599,14517 Jefferson Davis Highway,Woodbridge,VA,22191,US,51.77,7.92,1,0,0.31,11X10X1,,",",Departed FedEx location
1263729,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2541,72599,14101 GEORGIA AV,Wheaton,MD,20906,US,51.77,7.92,1,0,0.65,11X10X1,,",",Departed FedEx location
1263871,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2554,72599,3023 Duke Street,Alexandria,VA,22314,US,51.77,7.92,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1263784,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2541,72599,3012 14th Street Northwest,Washington,DC,20009,US,51.77,7.92,1,0,0.28,11X10X1,,",",Departed FedEx location
1263707,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2515,71399,4640 Lee Hill School Drive,Fredericksburg,VA,22408,US,51.77,7.92,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1263799,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2543,72599,3004 Forestville Road,District Heights,MD,20747,US,51.77,7.92,1,0,0.45,11X10X1,,",",Departed FedEx location
1259197,26572_04142023,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,Food Lion1,Retail Business Services LLC,4380 Kinnamon Village Lp,Clemmons,NC,27012,US,142.06,25.7,1,0,19.25,18X12X12,,",",Arrived at FedEx location
1264025,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2554,72599,4223 FAIRFAX DRIVE NR,Arlington,VA,22203,US,51.77,7.92,1,0,0.45,11X10X1,,",",Departed FedEx location
1263833,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2543,72599,7411 Central Avenue,Capitol Heights,MD,20743,US,51.77,7.92,1,0,0.38,11X10X1,,",",Departed FedEx location
1261701,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2363,72399,4450 Southeast 92nd Avenue,Portland,OR,97266,US,61.12,8.86,1,0,0.27,11X10X1,,",",Arrived at FedEx location
1261810,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1606,71799,712 South State Street,Clearfield,UT,84015,US,51.77,7.92,1,0,0.27,11X10X1,,",",Arrived at FedEx location
1261831,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2533,72799,1300 Bigley Avenue,Charleston,WV,25302,US,51.77,7.92,1,0,0.37,11X10X1,,",",In transit
1259209,26572_04142023,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,Food Lion1,Retail Business Services LLC,250 N M L King Jr Blvd,Monroe,NC,28110,US,95.54,16.02,1,0,9.2,13X10X6,,",",Departed FedEx location
1261625,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1002,71099,12300 Walden Avenue,Alden,NY,14004,US,51.77,7.92,1,0,0.2,11X10X1,,",",Arrived at FedEx location
1261277,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1532,71599,951 East Cypress Creek Road,Fort Lauderdale,FL,33334,US,61.12,8.86,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1261801,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1507,71499,3613 Lane Ave S,Jacksonville,FL,32210,US,58.45,8.3,1,0,0.27,11X10X1,,",",Arrived at FedEx location
1261611,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,1003,72399,221 Oakwood Avenue,Elmira Heights,NY,14903,US,51.77,7.92,1,0,0.27,11X10X1,,",",Arrived at FedEx location
1261360,711AR414,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,2175,72199,1212 North White Avenue,Pomona,CA,91768,US,61.12,8.86,1,0,0.55,11X10X1,,",",Departed FedEx location
1259186,26572_04142023,FedEx 2Day,EFEX2,3.97355E+11,2023-04-24T00:00:00,Food Lion1,Retail Business Services LLC,22713 Nc Hwy 903,Robersonville,NC,27871,US,198.62,38.43,1,0,18.15,18X12X12,,",",Arrived at FedEx location
1259187,26572_04142023,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,Food Lion1,Retail Business Services LLC,7069 Bltmore Anpolis Blvd,Linthicum,MD,21061,US,100.88,17.14,1,0,10.85,13X10X6,,",",Arrived at FedEx location
1261700,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2421,72499,368 8th Avenue,New York,NY,10001,US,51.77,7.92,1,0,0.27,11X10X1,,",",Shipment information sent to FedEx
1261276,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2366,72299,527 Sutter Street,San Francisco,CA,94102,US,61.12,8.86,1,0,0.6,11X10X1,,",",Departed FedEx location
1259191,26572_04142023,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,Food Lion1,Retail Business Services LLC,1800 South Creek One,Richmond,VA,23139,US,94.9,16.68,1,0,8.75,13X10X6,,",",Picked up
1261662,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2360,72399,819 Virginia Street,Seattle,WA,98101,US,58.45,8.3,1,0,0.37,11X10X1,,",",Departed FedEx location
1261164,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1506,71499,6946 Clarcona Ocoee Road,Orlando,FL,32810,US,58.45,8.3,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1261623,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1003,72399,865 Davis Street,Elmira,NY,14901,US,51.77,7.92,1,0,0.27,11X10X1,,",",Departed FedEx location
1261120,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1506,71499,1501 Rock Springs Road,Apopka,FL,32712,US,58.45,8.3,1,0,0.35,11X10X1,,",",Arrived at FedEx location
1261608,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1003,72399,34 Main Street,Canaseraga,NY,14822,US,56.98,9.98,1,0,0.37,11X10X1,,",",Departed FedEx location
1261607,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1003,72399,1735 New York State Bicycle Route 14,Phelps,NY,14532,US,56.06,9.61,1,0,0.37,11X10X1,,",",Departed FedEx location
1259314,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,7 Eleven,,550 Straight Path,West Babylon,NY,11704,US,78.29,10.77,1,0,3,12X6X6,,",",Departed FedEx location
1261601,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1002,71099,269 Main St,Randolph,NY,14772,US,56.98,9.98,1,0,0.27,11X10X1,,",",Arrived at FedEx location
1260817,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1501,71499,846 South Kirkman Road,Orlando,FL,32811,US,58.45,8.3,1,0,0.3,11X10X1,,",",Arrived at FedEx location
1260710,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1611,72399,3601 West Fwy,Fort Worth,TX,76107,US,51.77,7.92,1,0,0.7,11X10X1,,",",Arrived at FedEx location
1260512,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2514,71399,225 Hanbury Rd E,Chesapeake,VA,23322,US,58.45,8.3,1,0,0.65,11X10X1,,",",Arrived at FedEx location
1260691,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2173,72199,2377 West Pico Boulevard,Los Angeles,CA,90006,US,61.12,8.86,1,0,0.35,11X10X1,,",",Departed FedEx location
1260498,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1914,71999,2757 North Pine Grove Avenue,Chicago,IL,60614,US,46.94,7.92,1,0,0.6,11X10X1,,",",Arrived at FedEx location
1260455,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2412,71199,110 JACKSON AVE,Rutherford,NJ,7070,US,51.77,7.92,1,0,0.5,11X10X1,,",",Arrived at FedEx location
1263238,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1610,71799,1120 South Parker Road,Denver,CO,80231,US,51.77,7.92,1,0,0.3,11X10X1,,",",Arrived at FedEx location
1260734,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1604,71799,12285 South Parker Road,Parker,CO,80134,US,51.77,7.92,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1261600,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1003,72399,64 South Main Street,Warsaw,NY,14569,US,56.06,9.61,1,0,0.27,11X10X1,,",",Departed FedEx location
1261746,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2533,72799,409 Pullman Drive,Pennsboro,WV,26415,US,56.98,9.98,1,0,0.27,11X10X1,,",",Arrived at FedEx location
1260809,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2131,72099,1881 Palm Avenue,San Diego,CA,92154,US,61.12,8.86,1,0,0.55,11X10X1,,",",Departed FedEx location
1261721,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2421,72499,1683 1st Avenue,New York,NY,10128,US,51.77,7.92,1,0,0.2,11X10X1,,",",Arrived at FedEx location
1260889,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2516,71399,4455 JOHN TYLER MEMORIAL,Williamsburg,VA,23185,US,51.77,7.92,1,0,0.5,11X10X1,,",",Arrived at FedEx location
1261477,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2532,71399,9502 Mount Holly Hntrsvlle Rd,Huntersville,NC,28078,US,51.77,7.92,1,0,0.65,11X10X1,,",",Arrived at FedEx location
1261741,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2514,71399,3597 Holland Road,Virginia Beach,VA,23452,US,58.45,8.3,1,0,0.2,11X10X1,,",",Arrived at FedEx location
1261198,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1532,71599,8395 West Atlantic Boulevard,Pompano Beach,FL,33071,US,61.12,8.86,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1261169,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1501,71499,6026 Destination Parkway,Orlando,FL,32819,US,58.45,8.3,1,0,0.4,11X10X1,,",",Arrived at FedEx location
1260752,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2173,72199,4901 Santa Monica Boulevard,Los Angeles,CA,90029,US,61.12,8.86,1,0,0.6,11X10X1,,",",Arrived at FedEx location
1265959,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,1520 Conowingo Road,Bel Air,MD,21014,US,51.77,7.92,1,0,0.45,11X10X1,,",",Departed FedEx location
1260450,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1534,71599,17790 Collins Avenue,Sunny Isles Beach,FL,33160,US,61.12,8.86,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1260781,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1603,72399,1403 South Lamar Boulevard,Austin,TX,78704,US,58.45,8.3,1,0,0.45,11X10X1,,",",Arrived at FedEx location
1265954,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2544,72599,120 SOUTH MAIN ST,Union Bridge,MD,21791,US,56.06,9.61,1,0,0.3,11X10X1,,",",Arrived at FedEx location
1260555,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1604,71799,120 Blue River Parkway,Silverthorne,CO,80498,US,56.06,9.61,1,0,0.5,11X10X1,,",",In transit
1260569,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1913,71999,20502 Milwaukee Avenue,Deerfield,IL,60015,US,46.94,7.92,1,0,0.35,11X10X1,,",",Arrived at FedEx location
1265956,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2544,72599,11922 MAIN STREET,Libertytown,MD,21701,US,51.77,7.92,1,0,0.3,11X10X1,,",",Arrived at FedEx location
1265896,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,2611 Philadelphia Avenue,Ocean City,MD,21842,US,51.77,7.92,1,0,0.65,11X10X1,,",",Departed FedEx location
1265946,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2544,72599,10045 York Road,Cockeysville,MD,21030,US,51.77,7.92,1,0,0.25,11X10X1,,",",Arrived at FedEx location
1260644,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1602,71699,6925 Independence Parkway,Plano,TX,75023,US,51.77,7.92,1,0,0.7,11X10X1,,",",Arrived at FedEx location
1265917,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2408,72399,235 East Delaware Avenue,Newark,DE,19711,US,51.77,7.92,1,0,0.8,11X10X1,,",",Arrived at FedEx location
1265937,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,9601 Philadelphia Rd,Rosedale,MD,21237,US,51.77,7.92,1,0,0.3,11X10X1,,",",Departed FedEx location
1265904,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2408,72399,501 Church Ln,Lansdowne,PA,19050,US,51.77,7.92,1,0,0.75,11X10X1,,",",Departed FedEx location
1265929,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,1752 West Jarrettsville Road,Jarrettsville,MD,21084,US,56.06,9.61,1,0,0.3,11X10X1,,",",Departed FedEx location
1260392,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,7 Eleven,,1641 Louetta Rd,Spring,TX,77388,US,51.77,7.92,1,0,0.55,11X10X1,,",",Departed FedEx location
1265912,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,11911 Coastal Highway,Ocean City,MD,21842,US,51.77,7.92,1,0,1,11X10X1,,",",Departed FedEx location
1265947,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,836 Eastern Avenue,Essex,MD,21221,US,51.77,7.92,1,0,0.35,11X10X1,,",",Arrived at FedEx location
1265951,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2544,72599,204 AMBER DR,Frederick,MD,21702,US,51.77,7.92,1,0,0.45,11X10X1,,",",Departed FedEx location
1265844,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2405,72399,193 Mickley Road,Whitehall,PA,18052,US,51.77,7.92,1,0,0.95,11X10X1,,",",Arrived at FedEx location
1260925,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1912,72399,3017 Kennedy Dr,East Moline,IL,61244,US,45.78,7.92,1,0,0.6,11X10X1,,",",Departed FedEx location
1265927,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,1921 Eastern Boulevard,Essex,MD,21221,US,51.77,7.92,1,0,0.3,11X10X1,,",",Departed FedEx location
1260665,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1602,71699,1223 MCCORMICK,Denton,TX,76201,US,51.77,7.92,1,0,0.4,11X10X1,,",",Arrived at FedEx location
1265921,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,602 South Philadelphia Boulevard,Aberdeen,MD,21001,US,51.77,7.92,1,0,0.2,11X10X1,,",",Arrived at FedEx location
1265850,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,8930 Fort Smallwood Road,Pasadena,MD,21122,US,51.77,7.92,1,0,0.55,11X10X1,,",",Departed FedEx location
1259756,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,7 Eleven,,813 Middle Country Rd,Middle Island,NY,11953,US,58.45,8.3,1,0,0.75,11X10X1,,",",Departed FedEx location
1265913,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2405,72399,969 Glenbrook Avenue,Bryn Mawr,PA,19010,US,51.77,7.92,1,0,0.35,11X10X1,,",",Arrived at FedEx location
1265846,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2405,72399,495 East Street,Doylestown,PA,18901,US,51.77,7.92,1,0,0.55,11X10X1,,",",Departed FedEx location
1265903,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2405,72399,1028 Garrett Road,Upper Darby,PA,19082,US,51.77,7.92,1,0,0.3,11X10X1,,",",Departed FedEx location
1260769,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2175,72199,3201 North Broadway,Los Angeles,CA,90031,US,61.12,8.86,1,0,0.47,11X10X1,,",",Arrived at FedEx location
1259681,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2175,72199,803 West Arrow Highway,Azusa,CA,91702,US,61.12,8.86,1,0,0.35,11X10X1,,",",Departed FedEx location
1265941,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,7901 Wise Avenue,Dundalk,MD,21222,US,51.77,7.92,1,0,0.25,11X10X1,,",",Departed FedEx location
1265861,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2405,72399,1801 South 4th Street,Allentown,PA,18103,US,51.77,7.92,1,0,0.85,11X10X1,,",",Arrived at FedEx location
1265918,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,8605 OLD HARFORD RD,Baltimore,MD,21234,US,51.77,7.92,1,0,0.35,11X10X1,,",",Departed FedEx location
1265893,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2408,72399,46 Powell Road,Brookhaven,PA,19015,US,51.77,7.92,1,0,0.3,11X10X1,,",",Arrived at FedEx location
1265795,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2411,71199,2071 WHITEHORSE-,Mercerville,NJ,8619,US,51.77,7.92,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1265897,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2546,72599,5400 Pulaski Highway,Perryville,MD,21903,US,56.06,9.61,1,0,0.25,11X10X1,,",",Arrived at FedEx location
1260951,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1605,71799,1726 Champa Street,Denver,CO,80202,US,51.77,7.92,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1265887,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2408,72399,298 South Maryland Avenue,Wilmington,DE,19804,US,51.77,7.92,1,0,0.3,11X10X1,,",",Departed FedEx location
1260998,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,1912,72399,67990 E Palm Canyon Dr,Cathedral City,CA,92234,US,61.12,8.86,1,0,0.7,11X10X1,,",",Departed FedEx location
1265876,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2405,72399,110 South Main Street,Biglerville,PA,17307,US,56.06,9.61,1,0,0.4,11X10X1,,",",Departed FedEx location
1260679,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2412,71199,555 EAST 1ST AVE.,Roselle,NJ,7203,US,51.77,7.92,1,0,0.55,11X10X1,,",",Arrived at FedEx location
1259823,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2173,72199,3018 West Manchester Boulevard,Inglewood,CA,90305,US,61.12,8.86,1,0,0.65,11X10X1,,",",Departed FedEx location
1265870,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2405,72399,200 North Pine Street,Langhorne,PA,19047,US,51.77,7.92,1,0,0.35,11X10X1,,",",Departed FedEx location
1265869,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,2405,72399,791 North Wales Road,North Wales,PA,19454,US,51.77,7.92,1,0,0.25,11X10X1,,",",Departed FedEx location
1265883,711AR414,FedEx 2Day,EFEX2,3.97356E+11,2023-04-24T00:00:00,7 Eleven,,26220 116th Avenue Southeast,Kent,WA,98030,US,58.45,8.3,1,0,0.8,11X10X1,,",",Departed FedEx location
